"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"NUMVOTISI";"NUMVOTINO";"SKBIANCHE"
"CAMPANIA";"BENEVENTO";"6";"Incarichi extragiudiziari dei magistrati";269306;130924;"59636";"31312";"37232";11457;"822"
"CAMPANIA";"BENEVENTO";"7";"Ministero per le politiche agricole";269306;130924;"59571";"31283";"32507";16542;"7853"
"LOMBARDIA";"BERGAMO";"6";"Incarichi extragiudiziari dei magistrati";784264;379680;"292794";"143910";"226233";36616;"22579"
"LOMBARDIA";"BERGAMO";"1";"Privatizzazione";784264;379680;"292635";"143813";"202429";58546;"24084"
"LOMBARDIA";"BERGAMO";"3";"Caccia";784264;379680;"291774";"143097";"205490";62513;"17200"
"LOMBARDIA";"BERGAMO";"5";"Ordine dei giornalisti";784264;379680;"291285";"143015";"168398";86952;"27578"
"LOMBARDIA";"BERGAMO";"7";"Ministero per le politiche agricole";784264;379680;"291650";"143239";"189955";68914;"24697"
"LOMBARDIA";"BERGAMO";"4";"Carriere dei magistrati";784264;379680;"292666";"143828";"221346";39323;"24241"
"LOMBARDIA";"BERGAMO";"2";"Obiezione di coscienza";784264;379680;"293619";"144257";"193884";74712;"18260"
"EMILIA-ROMAGNA";"BOLOGNA";"5";"Ordine dei giornalisti";792963;376335;"229517";"115499";"130108";71746;"21915"
"EMILIA-ROMAGNA";"BOLOGNA";"6";"Incarichi extragiudiziari dei magistrati";792963;376335;"231354";"116564";"182703";26309;"17302"
"EMILIA-ROMAGNA";"BOLOGNA";"4";"Carriere dei magistrati";792963;376335;"230781";"116234";"175949";29811;"19485"
"EMILIA-ROMAGNA";"BOLOGNA";"3";"Caccia";792963;376335;"232816";"117050";"182210";36400;"10224"
"EMILIA-ROMAGNA";"BOLOGNA";"2";"Obiezione di coscienza";792963;376335;"233178";"117348";"158633";57389;"12936"
"EMILIA-ROMAGNA";"BOLOGNA";"1";"Privatizzazione";792963;376335;"230778";"116202";"148846";56891;"19421"
